,Website,Journal,Volume,Issue,Title,Download Link
0,AMS,bams,Volume 105,Issue 1,SatERR: A Community Error Inventory for Satellite Microwave Observation Error Representation and Uncertainty Quantification,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0207.1.pdf
0,AMS,bams,Volume 105,Issue 1,Hydrological Projections under CMIP5 and CMIP6: Sources and Magnitudes of Uncertainty,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0104.1.pdf
0,AMS,bams,Volume 105,Issue 1,From California’s Extreme Drought to Major Flooding: Evaluating and Synthesizing Experimental Seasonal and Subseasonal Forecasts of Landfalling Atmospheric Rivers and Extreme Precipitation during Winter 2022/23,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0208.1.pdf
0,AMS,bams,Volume 105,Issue 1,Toward Rapid Balloon Experiments for Sudden Aerosol Injection in the Stratosphere (REAS) by Volcanic Eruptions and Wildfires,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0086.1.pdf
0,AMS,bams,Volume 105,Issue 1,Grand-Scale Atmospheric Imaging Apparatus (GAIA) and Wind Lidar Multiscale Measurements in the Atmospheric Surface Layer,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0066.1.pdf
0,AMS,bams,Volume 105,Issue 1,The On-Orbit Performance of FY-3E in an Early Morning Orbit,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0045.1.pdf
0,AMS,bams,Volume 105,Issue 1,The South American Tropopause Aerosol Layer (SATAL),https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0074.1.pdf
0,AMS,bams,Volume 105,Issue 1,Improving Postdoctoral Training Programs through Alumni Perspectives and Experiences: A Study of NCAR’s Advanced Study Program,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0029.1.pdf
0,AMS,bams,Volume 105,Issue 1,The G-IV Inner Circumnavigation: A Story of Successful Organic Interactions Between Research and Operations at NOAA,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0084.1.pdf
0,AMS,bams,Volume 105,Issue 1,Searching for the Most Extreme Temperature Events in Recent History,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0095.1.pdf
0,AMS,bams,Volume 105,Issue 1,The Tree-Crop Remote Sensing of Evapotranspiration Experiment (T-REX): A Science-Based Path for Sustainable Water Management and Climate Resilience,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-22-0118.1.pdf
0,AMS,bams,Volume 105,Issue 1,Sampled Together: Assessing the Value of Simultaneous Collocated Measurements for Optimal Satellite Configurations,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0198.1.pdf
0,AMS,bams,Volume 105,Issue 1,Attribution of the August 2022 Extreme Heatwave in Southern China: Role of Dynamical and Thermodynamical Processes,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0175.1.pdf
0,AMS,bams,Volume 105,Issue 1,The 2022 Record-Breaking Heat Event over the Middle and Lower Reaches of the Yangtze River: The Role of Anthropogenic Forcing and Atmospheric Circulation,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0152.1.pdf
0,AMS,bams,Volume 105,Issue 1,Anthropogenic Contribution to the Unprecedented 2022 Midsummer Extreme High-Temperature Event in Southern China,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/1/BAMS-D-23-0199.1.pdf
0,AMS,bams,Volume 105,Issue 2,"Advanced Quantitative Precipitation Information: Improving Monitoring and Forecasts of Precipitation, Streamflow, and Coastal Flooding in the San Francisco Bay Area",https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-21-0121.1.pdf
0,AMS,bams,Volume 105,Issue 2,Climate Change Contributions to Increasing Compound Flooding Risk in New York City,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0177.1.pdf
0,AMS,bams,Volume 105,Issue 2,Investigation of Precipitation Process in the Water Vapor Channel of the Yarlung Zsangbo Grand Canyon,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0120.1.pdf
0,AMS,bams,Volume 105,Issue 2,Cyclogenesis in the Tropical Atlantic: First Scientific Highlights from the Clouds–Atmospheric Dynamics–Dust Interactions in West Africa (CADDIWA) Field Campaign,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0230.1.pdf
0,AMS,bams,Volume 105,Issue 2,Record High 2022 September-Mean Temperature in Western North America,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0148.1.pdf
0,AMS,bams,Volume 105,Issue 2,Anthropogenic Influence on 2022 June Extreme Rainfall over the Pearl River Basin,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0132.1.pdf
0,AMS,bams,Volume 105,Issue 2,Anthropogenic Influences on Extremely Persistent Seasonal Precipitation in Southern China during May–June 2022,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/2/BAMS-D-23-0137.1.pdf
0,AMS,bams,Volume 105,Issue 3,Cryosphere–Hydrometeorology Observations for a Water Tower Unit on the Tibetan Plateau Using the BeiDou-3 Navigation Satellite System,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0001.1.pdf
0,AMS,bams,Volume 105,Issue 3,Geostationary Satellite–Derived Positioning of a Tropical Cyclone Center Using Artificial Intelligence Algorithms over the Western North Pacific,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0130.1.pdf
0,AMS,bams,Volume 105,Issue 3,Large-Scale Dust–Bioaerosol Field Observations in East Asia,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0108.1.pdf
0,AMS,bams,Volume 105,Issue 3,"The Sundowner Winds Experiment (SWEX) in Santa Barbara, California: Advancing Understanding and Predictability of Downslope Windstorms in Coastal Environments",https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-22-0171.1.pdf
0,AMS,bams,Volume 105,Issue 3,Identifying and Categorizing Bias in AI/ML for Earth Sciences,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0196.1.pdf
0,AMS,bams,Volume 105,Issue 3,QLB-NET: A Dense Soil Moisture and Freeze–Thaw Monitoring Network in the Qinghai Lake Basin on the Qinghai–Tibetan Plateau,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0186.1.pdf
0,AMS,bams,Volume 105,Issue 3,The Circumglobal Transport of Massive African Dust and Its Impacts on the Regional Circulation in Remote Atmosphere,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0072.1.pdf
0,AMS,bams,Volume 105,Issue 3,A Machine Learning Approach to Improve the Usability of Severe Thunderstorm Wind Reports,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-22-0268.1.pdf
0,AMS,bams,Volume 105,Issue 3,GeoXO: NOAA’s Future Geostationary Satellite System,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0048.1.pdf
0,AMS,bams,Volume 105,Issue 3,Measuring Coupled Fire–Atmosphere Dynamics: The California Fire Dynamics Experiment (CalFiDE),https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0012.1.pdf
0,AMS,bams,Volume 105,Issue 3,Bridging New Observational Capabilities and Process-Level Simulation: Insights into Aerosol Roles in the Earth System,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0110.1.pdf
0,AMS,bams,Volume 105,Issue 3,COVID Impacts Cause Critical Gaps in the Indian Ocean Observing System,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-22-0270.1.pdf
0,AMS,bams,Volume 105,Issue 3,How Much Lightning Actually Strikes the United States?,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-22-0241.1.pdf
0,AMS,bams,Volume 105,Issue 4,Enhancing Global Food Security: Opportunities for the American Meteorological Society,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/4/BAMS-D-22-0106.1.pdf
0,AMS,bams,Volume 105,Issue 4,Looking Back: An Account of How Ice Nucleation by Bacteria Was Discovered (1963 to about Mid-1980s). Part I: The Basics,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/4/BAMS-D-23-0114.1.pdf
0,AMS,bams,Volume 105,Issue 4,Challenges of Operational Weather Forecast Verification and Evaluation,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/4/BAMS-D-22-0257.1.pdf
0,AMS,bams,Volume 105,Issue 4,Characterizing Overwater High Ozone Events in the Houston–Galveston–Brazoria Region during the 2021 GO3 and TRACER-AQ Campaigns,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/4/BAMS-D-23-0034.1.pdf
0,AMS,bams,Volume 104,Issue 1,The Future of Supercells in the United States,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0027.1.pdf
0,AMS,bams,Volume 104,Issue 1,Determining the Location of the 22 May 1855 Chicago Area Tornado,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0289.1.pdf
0,AMS,bams,Volume 104,Issue 1,The Secondary Production of Ice in Cumulus Experiment (SPICULE),https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0209.1.pdf
0,AMS,bams,Volume 104,Issue 1,A Tribute to Paul Crutzen (1933–2021): The Pioneering Atmospheric Chemist Who Provided New Insight into the Concept of Climate Change,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0311.1.pdf
0,AMS,bams,Volume 104,Issue 1,Was Franz Baur’s Infamous Long-Range Weather Forecast for the Winter of 1941/42 on the Eastern Front Really Wrong?,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0310.1.pdf
0,AMS,bams,Volume 104,Issue 1,The First 30 Years of GEWEX,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0061.1.pdf
0,AMS,bams,Volume 104,Issue 1,An Integrated Research Plan for the Tibetan Plateau Land–Air Coupled System and Its Impacts on the Global Climate,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0293.1.pdf
0,AMS,bams,Volume 104,Issue 1,Destructive Potential of Planetary Meteotsunami Waves beyond the Hunga Tonga–Hunga Ha‘apai Volcano Eruption,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0164.1.pdf
0,AMS,bams,Volume 104,Issue 1,Around the World They Go: Circumnavigating Balloon Satellites!,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0135.1.pdf
